OSI,Points:0,Points:1,Points:2
0.000414007,0.0512213,-1.09959e-17,0.0017
0.000421402,0.0512213,0.00019034,0.00168931
0.000435882,0.0512213,0.000378286,0.00165738
0.000448271,0.0512213,0.000561475,0.0016046
0.000457174,0.0512213,0.000737603,0.00153165
0.000462948,0.0512213,0.000904455,0.00143943
0.000466156,0.0512213,0.00105993,0.00132911
0.000467182,0.0512213,0.00120208,0.00120208
0.000466158,0.0512213,0.00132911,0.00105993
0.000462953,0.0512213,0.00143943,0.000904455
0.000457181,0.0512213,0.00153165,0.000737603
0.00044828,0.0512213,0.0016046,0.000561475
0.000435893,0.0512213,0.00165738,0.000378286
0.000421414,0.0512213,0.00168931,0.00019034
0.000414019,0.0512213,0.0017,-3.77476e-19
0.000413992,0.0512213,-0.0017,3.77476e-19
0.000421387,0.0512213,-0.00168931,0.00019034
0.000435867,0.0512213,-0.00165738,0.000378286
0.000448255,0.0512213,-0.0016046,0.000561475
0.000457156,0.0512213,-0.00153165,0.000737603
0.00046293,0.0512213,-0.00143943,0.000904455
0.000466137,0.0512213,-0.00132911,0.00105993
0.000467163,0.0512213,-0.00120208,0.00120208
0.000466139,0.0512213,-0.00105993,0.00132911
0.000462933,0.0512213,-0.000904455,0.00143943
0.000457162,0.0512213,-0.000737603,0.00153165
0.000448262,0.0512213,-0.000561475,0.0016046
0.000435876,0.0512213,-0.000378286,0.00165738
0.000421399,0.0512213,-0.00019034,0.00168931
0.000414006,0.0512213,-1.17509e-17,-0.0017
0.000421398,0.0512213,-0.00019034,-0.00168931
0.000435876,0.0512213,-0.000378286,-0.00165738
0.000448262,0.0512213,-0.000561475,-0.0016046
0.000457162,0.0512213,-0.000737603,-0.00153165
0.000462933,0.0512213,-0.000904455,-0.00143943
0.000466139,0.0512213,-0.00105993,-0.00132911
0.000467163,0.0512213,-0.00120208,-0.00120208
0.000466137,0.0512213,-0.00132911,-0.00105993
0.00046293,0.0512213,-0.00143943,-0.000904455
0.000457156,0.0512213,-0.00153165,-0.000737603
0.000448254,0.0512213,-0.0016046,-0.000561475
0.000435866,0.0512213,-0.00165738,-0.000378286
0.000421387,0.0512213,-0.00168931,-0.00019034
0.000421414,0.0512213,0.00168931,-0.00019034
0.000435893,0.0512213,0.00165738,-0.000378286
0.00044828,0.0512213,0.0016046,-0.000561475
0.00045718,0.0512213,0.00153165,-0.000737603
0.000462952,0.0512213,0.00143943,-0.000904455
0.000466158,0.0512213,0.00132911,-0.00105993
0.000467182,0.0512213,0.00120208,-0.00120208
0.000466156,0.0512213,0.00105993,-0.00132911
0.000462948,0.0512213,0.000904455,-0.00143943
0.000457174,0.0512213,0.000737603,-0.00153165
0.000448271,0.0512213,0.000561475,-0.0016046
0.000435882,0.0512213,0.000378286,-0.00165738
0.000421402,0.0512213,0.00019034,-0.00168931
0.000414033,0.0516035,-1.10808e-17,0.0017
0.000421429,0.0516035,0.00019034,0.00168931
0.00043591,0.0516035,0.000378286,0.00165738
0.000448301,0.0516035,0.000561475,0.0016046
0.000457203,0.0516035,0.000737603,0.00153165
0.000462978,0.0516035,0.000904455,0.00143943
0.000466187,0.0516035,0.00105993,0.00132911
0.000467214,0.0516035,0.00120208,0.00120208
0.00046619,0.0516035,0.00132911,0.00105993
0.000462985,0.0516035,0.00143943,0.000904455
0.000457213,0.0516035,0.00153165,0.000737603
0.000448312,0.0516035,0.0016046,0.000561475
0.000435924,0.0516035,0.00165738,0.000378286
0.000421445,0.0516035,0.00168931,0.00019034
0.000414049,0.0516035,0.0017,-3.77476e-19
0.000414014,0.0516035,-0.0017,3.77476e-19
0.000421408,0.0516035,-0.00168931,0.00019034
0.000435888,0.0516035,-0.00165738,0.000378286
0.000448277,0.0516035,-0.0016046,0.000561475
0.000457178,0.0516035,-0.00153165,0.000737603
0.000462953,0.0516035,-0.00143943,0.000904455
0.000466161,0.0516035,-0.00132911,0.00105993
0.000467187,0.0516035,-0.00120208,0.00120208
0.000466163,0.0516035,-0.00105993,0.00132911
0.000462958,0.0516035,-0.000904455,0.00143943
0.000457187,0.0516035,-0.000737603,0.00153165
0.000448288,0.0516035,-0.000561475,0.0016046
0.000435902,0.0516035,-0.000378286,0.00165738
0.000421425,0.0516035,-0.00019034,0.00168931
0.000414031,0.0516035,-1.18358e-17,-0.0017
0.000421423,0.0516035,-0.00019034,-0.00168931
0.000435902,0.0516035,-0.000378286,-0.00165738
0.000448288,0.0516035,-0.000561475,-0.0016046
0.000457187,0.0516035,-0.000737603,-0.00153165
0.000462958,0.0516035,-0.000904455,-0.00143943
0.000466163,0.0516035,-0.00105993,-0.00132911
0.000467187,0.0516035,-0.00120208,-0.00120208
0.000466161,0.0516035,-0.00132911,-0.00105993
0.000462953,0.0516035,-0.00143943,-0.000904455
